issn,nom_clt,nb_numeros,nb_document,pre_année_pub,der_année_pub,discpline,editeur
1775-3945,"Santé, Société et Solidarité",18.0,360.0,2002.0,2010.0,"économie, science politique",Institut de Recherche et Documentation en Économie de la Santé
1777-5795,Économie & prévision,181.0,1421.0,1971.0,2017.0,"économie, science politique, sociologie",INSEE
2647-8145,Annuaire international de justice constitutionnelle,34.0,1404.0,1987.0,2018.0,Droit,"Economica, Presses Universitaires d'Aix-Marseille"
1955-2564,Actes de la Recherche en Sciences Sociales,121.0,1477.0,1975.0,2003.0,"économie, histoire, science politique, sociologie",Le Seuil
2551-3761,Cahier Louis-Lumière,9.0,138.0,2003.0,2015.0,"arts (Histoire de l'art, Architecture), sciences de l'information et de la communication",Ecole nationale supérieure Louis-Lumière
1957-7850,Journal des Africanistes,124.0,2289.0,1931.0,2003.0,"anthropologie, études des grandes aires culturelles",Société des africanistes
1776-2936,L'Espace géographique,113.0,2566.0,1972.0,2000.0,"géographie, science de l'environnement",Belin
1773-0198,Revue d'économie industrielle,112.0,1424.0,1977.0,2005.0,économie,Éditions techniques et économiques
2119-4831,Politiques et Management Public,101.0,1377.0,1983.0,2007.0,"économie, science politique",Lavoisier
1952-4226,Matériaux pour l'histoire de notre temps,66.0,1461.0,1985.0,2005.0,histoire,Association des amis de la BDIC
2105-2573,Revue de l'histoire des religions,228.0,5550.0,1946.0,2004.0,"histoire, religion et théologie",Armand Colin
2117-590,XVII-XVIII. Revue de la Société d'études anglo-américaines des XVIIe et XVIIIe siècles,83.0,1309.0,1975.0,2011.0,études des grandes aires culturelles,Société des études anglo-américaines des XVIIe et XVIIIe siècles
2105-2948,Annuaire Français de Droit International,65.0,3163.0,1955.0,2014.0,"droit, science politique",CNRS Éditions
1777-5329,Revue d'Histoire du XIXe siècle - 1848,191.0,2769.0,1904.0,1999.0,Histoire,Société de 1848
1760-7388,Revue française d'économie,96.0,940.0,1986.0,2010.0,économie,Association Française d'Économie
2259-0285,Revue des Sciences Religieuses,281.0,7938.0,1921.0,2005.0,"études classiques, histoire, religion et théologie",Faculté de Théologie Catholique de Strasbourg
1777-5574,Economie et Statistique,685.0,4913.0,1946.0,2019.0,"économie, science politique, sociologie",INSEE
1777-5744,Revue d'économie financière,121.0,2693.0,1987.0,2012.0,économie,Association d'Économie Financière
1760-7256,Journal de la Société des Océanistes,89.0,2019.0,1945.0,2000.0,"anthropologie, études des grandes aires culturelles",Société des océanistes
2613-2958,Publications de la Société Linnéenne de Lyon,901.0,9194.0,1836.0,2015.0,"Science de l'environnement, Science de la Terre, Science de la vie",Société Linnéenne de Lyon
2262-0753,Les cahiers du GRIF,50.0,1865.0,1973.0,1997.0,"histoire, psychologie, sociologie",Groupe de recherche et d'information féministes
1950-6686,Revue française de science politique,281.0,5601.0,1951.0,2003.0,science politique,SciencesPo
1953-8138,Bibliothèque de l'École des chartes,224.0,16690.0,1840.0,2013.0,"études classiques, histoire",Société de l'École des Chartes
1969-6663,Comptes rendus des séances de l'Académie des Inscriptions et Belles-Lettres,683.0,25966.0,1857.0,2014.0,"archéologie, études classiques, histoire",Académie des Inscriptions et des Belles Lettres
2419-686,Bulletin de Minéralogie,434.0,6329.0,1878.0,1988.0,"Sciences de la Terre, Sciences de la vie, Littérature",Société Française de Minéralogie et de Cristallographie
2271-7005,Revue du Nord,325.0,7490.0,1910.0,2000.0,"archéologie (mondes anciens), études régionales, histoire",Université Lille 3
1488-9692,Circuit,74.0,104.0,1990.0,2019.0,Arts,"Circuit, musiques contemporaines"
2417-6516,"Albineana, Cahiers d'Aubigné",29.0,499.0,1988.0,2017.0,littérature,Association des amis d'Agrippa d'Aubigné
2272-9828,Caravelle. Cahiers du monde hispanique et luso-brésilien,88.0,3509.0,1963.0,2007.0,"anthropologie, histoire, littérature",Presses Universitaires du Mirail
1760-8546,Norois,181.0,3790.0,1954.0,2002.0,"études régionales, géographie, science de l'environnement",Presses universitaires de Rennes
1775-3864,Revue d'Histoire de la Pharmacie,399.0,13711.0,1913.0,2017.0,histoire des sciences et des techniques,Société d'histoire de la pharmacie
2507-0185,Revue d'Histoire des Textes,45.0,583.0,1953.0,2003.0,"études classiques, histoire, littérature",Institut de Recherche et d'Histoire des Textes
1764-7223,Sciences et Technologies de l'Information et de la Communication pour l'Éducation et la Formation,48.0,822.0,1994.0,2018.0,Science de l'éducation,"Le Mans Université, LIUM"
2295-9068,Revue belge de Philologie et d'Histoire,349.0,20852.0,1922.0,2017.0,"histoire, linguistique",Société pour le Progrès des Études Philologiques et Historiques
2496-7068,Annales du Midi,465.0,7669.0,1889.0,2014.0,"archéologie (mondes anciens), études classiques, histoire",Éditions Privat
1920-7344,Communication. Information Médias Théories,43.0,855.0,1975.0,1998.0,sciences de l'information et de la communication,Département d'information et communication de l'Université Laval
1492-1383,Revue d’histoire de l’Amérique française,277.0,350.0,1947.0,2019.0,Histoire,Institut d’histoire de l’Amérique française
1705-0065,Revue des sciences de l’éducation,136.0,181.0,1975.0,2019.0,Éducation,Revue des sciences de l’éducation
1777-5884,Annales de géographie,632.0,16093.0,1892.0,2006.0,"géographie, sociologie, science de l'environnement",Armand Colin
2547-5614,Hommes et Terres du Nord,129.0,2052.0,1963.0,2004.0,"études régionales, géographie",Société de Géographie de Lille
2105-2271,Revue des mondes musulmans et de la Méditerranée,72.0,2118.0,1966.0,1999.0,études des grandes aires culturelles,Presses universitaires de Provence
1776-2774,Annales de Démographie Historique,41.0,1811.0,1964.0,2001.0,"anthropologie, démographie, histoire",Société de Démographie Historique
1950-6899,Sociétés Contemporaines,35.0,749.0,1990.0,2000.0,"science politique, sociologie",SciencesPo
2275-5039,Bulletin Monumental,351.0,16295.0,1885.0,2016.0,"archéologie, arts, histoire",Éditions Picard
2108-6443,Annales de Bretagne et des pays de l'Ouest,296.0,4101.0,1902.0,2000.0,"archéologie (mondes anciens), études régionales, histoire",Presses universitaires de Rennes
1968-3758,Agora débats/jeunesses,42.0,2375.0,1995.0,2006.0,"démographie, science de l'éducation, science politique",Presses SciencesPo
1776-3061,Revue Française d'Études Américaines,69.0,2578.0,1978.0,2000.0,"arts (histoire de l'art, architecture), études des grandes aires culturelles",Belin
1960-601,Géocarrefour,263.0,4124.0,1926.0,2002.0,"géographie, science de l'environnement",Association des amis de la Revue de Géographie de Lyon
2272-7639,Pallas. Revue d'études antiques,55.0,668.0,1953.0,1999.0,"archéologie, histoire, littérature",Presses Universitaires du Midi
1777-537,Études rurales,102.0,2589.0,1961.0,1999.0,"anthropologie, histoire",Éditions de l'EHESS
2273-0257,Revue géographique des Pyrénées et du Sud-Ouest. Sud-Ouest Européen,257.0,3604.0,1930.0,2008.0,géographie,Presses Universitaires du Mirail
2264-7791,Cahiers de l'APLIUT,75.0,1908.0,1980.0,2000.0,"linguistique, science de l'éducation",Association des professeurs de langues des Instituts universitaires de technologie (l’APLIUT)
2111-4528,Culture & Musées,40.0,576.0,1992.0,2014.0,sciences de l'information et de la communication,"Actes Sud, Université d'Avignon"
1957-7842,Journal de la société des américanistes,107.0,5241.0,1895.0,2000.0,"anthropologie, études des grandes aires culturelles",Société des américanistes
1760-7892,Dix-Huitième Siècle,37.0,9590.0,1969.0,2005.0,"arts, histoire de l'art, histoire, littérature",Société Française d’Etude du Dix-Huitième Siècle
1777-5906,"Histoire, économie & société",100.0,1799.0,1982.0,2006.0,"économie, histoire , sociologie",Armand Colin
1492-1413,Théologiques,49.0,76.0,1993.0,2019.0,Théologie,Institut d’études religieuses de l’Université de Montréal
1703-8138,Relations industrielles / Industrial Relations,323.0,398.0,1945.0,2019.0,Relations industrielles,Département des relations industrielles de l’Université Laval
2109-9502,Revue d'histoire de l'Église de France,221.0,3850.0,1910.0,2000.0,"histoire, religion et théologie",Société d'histoire religieuse de France
1953-8286,Politix. Revue des sciences sociales du politique,65.0,1491.0,1988.0,2004.0,"science politique, sociologie",De Boeck
1960-6656,Pôle Sud,25.0,556.0,1994.0,2006.0,science politique,Observatoire des Politiques Publiques en Europe du Sud
1969-654,"Réforme, Humanisme, Renaissance",80.0,2172.0,1975.0,2014.0,,"Association d'étude sur l'Humanisme, la Réforme et le Renaissance"
2275-5160,Bulletin de l'Association Guillaume Budé,317.0,5269.0,1923.0,2016.0,"archéologie (mondes anciens), études classiques, littérature","Les Belles lettres, Association Guillaume Budé"
1777-5825,Archives de Sciences Sociales des Religions,134.0,14426.0,1956.0,1999.0,"anthropologie, religion et théologie, sociologie",Éditions de l'EHESS
1953-8103,Homme,136.0,5959.0,1961.0,1999.0,"anthropologie, science de l'environnement",Éditions de l'EHESS
2114-2203,Journal des anthropologues,51.0,1030.0,1979.0,1997.0,anthropologie,Association française des anthropologues
2647-8463,Nouvelle revue d'onomastique,33.0,1520.0,1983.0,2015.0,"histoire, linguistique",Société française d’onomastique
2496-7467,La Revue russe,40.0,766.0,1991.0,2013.0,"études des grandes aires culturelles, littérature",Institut d'études slaves
1960-6001,Mots. Les langages du politique,69.0,1791.0,1980.0,2002.0,"linguistique, science politique, science de l'information et de la documentation",ENS Éditions
1777-5647,Revue de l'OFCE,75.0,1381.0,1982.0,2000.0,économie,SciencesPo
1777-554,Critique internationale,9.0,376.0,1998.0,2000.0,"démographie, sociologie",Presses SciencesPo
1777-5876,L'Information Géographique,177.0,4630.0,1936.0,2005.0,"géographie, science de l'éducation",Armand Colin
2497-6784,Cahiers Edmond et Jules de Goncourt,23.0,842.0,1992.0,2016.0,"arts (histoire de l'art, architecture), histoire, littérature",Société des Amis des frères Goncourt
1957-7982,Langue française,152.0,1768.0,1969.0,2006.0,"arts (histoire de l'art, architecture), linguistique",Armand Colin
2259-8863,Etudes irlandaises,67.0,2090.0,1976.0,2008.0,"études des grandes aires culturelles, histoire, littérature",Presses Universitaires de Rennes
1969-6779,Cahiers d'Économie Politique,31.0,728.0,1974.0,2001.0,"économie, science politique",L'Harmattan
1712-2139,Revue de l’Université de Moncton,26.0,41.0,2004.0,2018.0,Sciences humaines et sociales,Revue de l’Université de Moncton
2295-9076,L'Antiquité Classique,124.0,20273.0,1932.0,2014.0,"arts (histoire de l'art, architecture), études classiques, histoire",Association L'Antiquité classique
1960-6648,Mil neuf cent. Revue d'histoire intellectuelle (Cahiers Georges Sorel),18.0,464.0,1983.0,2000.0,"études classiques, histoire",Société d'études soréliennes
1777-5892,Médiévales,41.0,845.0,1982.0,2002.0,"études classiques, histoire, littérature",Presses Universitaires de Vincennes
1920-2954,Horizons philosophiques,34.0,52.0,1990.0,2007.0,Philosophie,Collège Édouard-Montpetit
2297-5810,Le Globe. Revue genevoise de géographie,165.0,4574.0,1860.0,2019.0,"géographie, science de l'environnement",Société de Géographie de Genève
1638-1580,Histoire Épistémologie Langage,99.0,1449.0,1979.0,2017.0,"histoire, linguistique",Société d'histoire et d'Épistémologie des Sciences du Langage
1775-383,Journal des Savants,487.0,5139.0,1909.0,2016.0,"arts (histoire de l'art, architecture), études classiques, histoire",Académie des Inscriptions et des Belles-Lettres
1760-7361,Bulletin de la Société préhistorique française,930.0,9438.0,1904.0,2017.0,"anthropologie, archéologie (mondes anciens)",Société préhistorique française
1955-2416,Recherches sur Diderot et sur l'Encyclopédie,26.0,953.0,1986.0,2002.0,littérature,Société Diderot
2427-9048,América. Cahiers du CRICCAL,41.0,1005.0,1986.0,2013.0,"littérature, étude des grandes aires culturelles",Presses Sorbonne Nouvelle
2613-2729,Géologie Méditerranéenne,85.0,794.0,1974.0,2001.0,"Sciences de la Terre, Sciences de la vie",Éditions de l'Université de Provence
2119-1026,Cahiers de Civilisation Médiévale,192.0,4980.0,1958.0,2007.0,"archéologie (mondes anciens), arts (histoire de l'art, architecture), histoire",Centre d’études supérieures de civilisation médiévale
2260-815,Monuments et mémoires de la Fondation Eugène Piot,116.0,914.0,1894.0,2015.0,"art, études classiques, histoire",Académie des Inscriptions et Belles-Lettres
2273-0311,Littératures,85.0,2079.0,1951.0,2009.0,Littérature,Presses Universitaires du Midi
2108-6478,Revue Géographique de l'Est,107.0,1348.0,1961.0,1998.0,"études régionales, géographie",Association des géographes de l'Est
2260-8079,Revue des Études Grecques,343.0,14260.0,1888.0,2016.0,études classiques,Association des Études Grecques
1969-6973,Droit et Société,38.0,1892.0,1985.0,2000.0,"droit, science politique, sociologie",Lextenso
2102-5940,Annuaire des Collectivités Locales,36.0,1463.0,1981.0,2016.0,"droit, science politique, sociologie",Université Paris 1 Panthéon Sorbonne
1965-0795,Quaternaire,129.0,1244.0,1964.0,2004.0,"géographie, science de l'environnement",Association Française pour l'Étude du Quaternaire
1958-9549,Langages,164.0,1644.0,1966.0,2006.0,linguistique,Armand Colin
1776-2944,Genèses. Sciences sociales et histoire,43.0,1256.0,1990.0,2000.0,"anthropologie, histoire, sciences politiques",Belin
2647-9982,Villes en Parallèle,38.0,677.0,1978.0,2018.0,Géographie,"Université Paris10-Nanterre, Laboratoire de géographie urbaine"
2613-2710,Débats Jeunesses,25.0,237.0,1996.0,2010.0,Sociologie,"Université Libre de Bruxelles, Département de Traduction et Interprétation"
2647-7300,Cahiers du Centre d’Études Chypriotes,45.0,667.0,1984.0,2016.0,"archéologie, arts (histoire de l'art, architecture), histoire",Association «Centre d'Etudes Chypriotes» {C}{C}{C}
2260-8478,Littératures classiques,60.0,1156.0,1979.0,2005.0,"Histoire, Littérature",Presses universitaires du Midi
2431-210,"NETCOM : Réseaux, communication et territoires / Networks and communication studies",42.0,687.0,1987.0,2006.0,"Géographie, Sciences de l'information et de la communication, Sociologie",Association NETCOM
1968-3936,Recherche & formation,50.0,1019.0,1987.0,2005.0,science de l'éducation,"ENS Éditions, Institut Français de l'Éducation"
1952-403,Annales historiques de la Révolution française,159.0,3626.0,1963.0,2008.0,histoire,Armand Colin
1777-5701,Sociologie du travail,159.0,2357.0,1959.0,1998.0,Sociologie,Association pour le développement de la sociologie du travail
1783-1830,Vita Latina,74.0,854.0,1989.0,2017.0,études classiques,Les Belles Lettres
2946-7564,Revue Juridique de l'Ouest,194.0,2905.0,1973.0,2018.0,droit,Institut de l'Ouest : Droit et Europe
2540-3494,Bulletin de la Société nationale des Antiquaires de France,63.0,4262.0,1945.0,2016.0,"Archéologie, Arts (Histoire de l'art, Architecture), Histoire",Société nationale des Antiquaires de France
2490-7944,Revue des politiques sociales et familiales,124.0,1665.0,1985.0,2019.0,"économie, science politique, sociologie",CNAF
2425-2042,Pratiques,111.0,1066.0,1974.0,2007.0,"Linguistique, Science de l'éducation",CREM (Centre de Recherche sur les Médiations)
1777-5353,Cahiers d'Études africaines,130.0,3102.0,1960.0,1999.0,"anthropologie, étude des grandes aires culturelles, histoire",Éditions de l'EHESS
2111-4552,Arts Asiatiques,68.0,1301.0,1962.0,2019.0,"archéologie (mondes anciens), arts (histoire de l'art, architecture), étude des grandes aires culturelles",École france d'Extrême-Orient
2513-6097,Revue Européenne de Droit de l’Environnement,50.0,951.0,1997.0,2009.0,"droit, science de l'environnement",Centre International de Droit Comparé de l'Environnement (C.I.D.C.E.)
2275-4776,GAIA. Revue interdisciplinaire sur la Grèce ancienne,19.0,448.0,1997.0,2017.0,"archéologie (mondes anciens), études classiques, histoire",Éditions littéraires et linguistiques de l'université de Grenoble (ELLUG)
2118-9692,LINX,43.0,578.0,1979.0,1997.0,linguistique,Université Paris Ouest La Défense
1955-270,Dialogues d'histoire ancienne,93.0,2667.0,1974.0,2018.0,"archéologie (mondes anciens), études classiques, histoire",Institut des sciences et techniques de l'Antiquité
1760-737,Bulletin de l'École française d'Extrême-Orient,118.0,3784.0,1901.0,2018.0,"archéologie (mondes anciens), étude des grandes aires culturelles, histoire",École française d'Extrême-Orient
1760-8538,Méditerranée,141.0,2053.0,1960.0,2004.0,"géographie, science de l'environnement",Presses universitaires de Provence
1492-1367,Criminologie,88.0,133.0,1975.0,2019.0,"Droit, Sociologie",Les Presses de l’Université de Montréal
2117-6809,Actes des congrès de la Société des historiens médiévistes de l'enseignement supérieur public,38.0,765.0,1970.0,2007.0,histoire,Publications de la Sorbonne
1783-8401,Revue Théologique de Louvain,176.0,7882.0,1970.0,2013.0,"religion et théologie, arts (histoire de l'art, architecture), études classiques,",Publications de l'Université catholique de Louvain
2296-4096,Déviance et société,96.0,1095.0,1977.0,2000.0,"démographie, psychologie, sociologie",Médecine et Hygiène
2117-539,Antiquités africaines,47.0,638.0,1967.0,2015.0,"archéologie (mondes anciens), études des grandes aires culturelles, histoire","CNRS Éditions, Centre Camille Jullian"
2102-5452,Histoire de l'éducation,68.0,1474.0,1978.0,1999.0,science de l'éducation,Institut Français de l'Éducation
1777-5388,Cahiers du Monde Russe,128.0,2104.0,1959.0,1999.0,"arts, étude des grandes aires culturelles, histoire",Éditions de l'EHESS
2275-4954,Outre-Mers. Revue d'histoire,205.0,6997.0,1931.0,2014.0,"études des grandes aires culturelles, histoire",Société française d’histoire des outre-mers
2647-7572,Gazette des archives,250.0,4338.0,1933.0,2017.0,"histoire, Sciences de l'information et de la communication",Association des archivistes français
2429-9499,Arzanà. Cahiers de littérature médiévale italienne,16.0,172.0,1992.0,2013.0,littérature,"Centre d’études et de recherches sur la littérature italienne du Moyen Âge (CERLIM), Presses Sorbonne Nouvelle"
2108-7105,"Extrême-Orient, Extrême-Occident",30.0,291.0,1982.0,2007.0,étude des grandes aires culturelles,Presses universitaires de Vincennes
2101-0420,"Paléo, Revue d'Archéologie Préhistorique",18.0,361.0,1989.0,2000.0,"archéologie (mondes anciens), arts (histoire de l'art, architecture), histoire",Societé des amis du Musée national de Préhistoire et de recherche
1791-7077,Mètis. Anthropologie des mondes grecs anciens,15.0,229.0,1986.0,1998.0,"anthropologie, archéologie (mondes anciens), études classiques, histoire","Éditions EHESS, Daedalus (Athènes)"
1918-8218,Les Cahiers de droit,214.0,280.0,1954.0,2019.0,Droit,Faculté de droit de l’Université Laval
2613-277,"Sciences Géologiques, bulletins et mémoires",242.0,1759.0,1920.0,1999.0,Sciences de la Terre,"Université Louis Pasteur de Strasbourg, École et Observatoire des Sciences de la Terre"
2117-6272,Cahiers d'Extrême-Asie,27.0,642.0,1985.0,2018.0,"anthropologie, arts (histoire de l'art, architecture), études des grandes aires culturelles, histoire",Éditions de l'École française d'Extrème-Orient
2608-4228,Archéologie médiévale,28.0,5549.0,1971.0,1999.0,Archéologie,CNRS Éditions
1957-7745,Histoire & Mesure,34.0,763.0,1986.0,2000.0,"histoire, histoire des sciences et des techniques",Éditions de l'EHESS
1951-6207,Revue archéologique du Centre de la France,91.0,1881.0,1962.0,2004.0,archéologie (mondes anciens),Laboratoire Archéologie et Territoires (UMR 6173 CITERES)
2076-8435,"Syria. Archéologie, Art et histoire",184.0,4819.0,1920.0,2005.0,"archéologie (mondes anciens), arts (histoire de l'art, architecture), histoire",Institut français du Proche-Orient
,,,,,,,
2104-3655,Archipel,87.0,2049.0,1971.0,2014.0,"arts (histoire de l'art, architecture), étude des grandes aires culturelles, histoire",Éditions de la FMSH
2104-3914,Revue archéologique de Picardie,136.0,1910.0,1971.0,2014.0,archéologie (mondes anciens),Société archéologique de Picardie
2420-6466,Mémoires de l'Institut de France,67.0,593.0,1821.0,1975.0,"art, études classiques, histoire",Académie des Inscriptions et Belles-Lettres
2431-1766,Caliban,43.0,716.0,1964.0,2005.0,"Arts (Histoire de l'art, Architecture), Littérature",Presses Universitaires du Midi
2076-8443,Cahiers de l'AIEF,60.0,1502.0,1951.0,2011.0,"arts (histoire de l'art, architecture), histoire, litérature",Association Internationale des Études Françaises
2118-4496,Psychologie clinique et projective,42.0,784.0,1952.0,2000.0,psychologie,Éditions Érès
2437-2226,Journal d'agriculture traditionnelle et de botanique appliquée,454.0,4048.0,1921.0,2000.0,"géographie, histoire des sciences et des techniques, science de l'environnement",Museum National d’Histoire Naturelle
1963-1693,Revue Numismatique,60.0,2214.0,1958.0,2017.0,"archéologie (mondes anciens), histoire",Société française de numismatique
