num_doc,title,annee_publication,issn
26,La question migratoire dans les relations euroméditerranéennes. Entre intégration et obsession sécuritaire,2007,2262-3353
27,Les migrations scientifiques algériennes vers la France,1999,2262-3353
28,Carrières et échanges de cerveaux : un cadre explicatif pour les migrations internationales de travail au sein de l'Europe du Nord-Ouest,1983,2104-3752
29,Entre l'engagement et la fuite,2006,2117-718
30,"La Ceppède, ou la fuite du sens",1987,1708-9069
31,Lignes de fuite d’un rebelle,1999,2111-4412
32,"Variations morphologiques, syntaxiques, sémantiques et Repérage d’Information sur le Web",2003,1705-4591
33,À l'est du nouveau,1992,2262-3353
34,"Gaillard Anne-Marie et Gaillard Jacques, Les enjeux des migrations scientifiques internationales. De la quête du savoir à la circulation des compétences",2000,1777-5418
35,Articles,1973,1963-1359
36,La mobilité des élites scientifiques de l'Autre Europe : exode ou circulation ?,1996,2259-6100
37,Insertion et formation des étudiants étrangers dans les systèmes d'enseignement supérieur : Le cas des étudiants maghrébins,1986,2613-2702
38,"Khadria Binod, The Migration of Knowledge Workers. Second Generation Effects of India's Brain Drain",2001,1777-5418
39,"John F. Helliwell, Mondialisation et bien-être, Québec, Les Presses de l’Université Laval, 2005, 105 p.",2007,1705-6225
40,"I. Formation, emploi, territoires (Professionnal training, jobs, territories)",2004,2275-5195
41,"La géographie, une discipline qui stimule les deux cerveaux",1998,
42,Jean-Pierre Clerc et Paul lorcète. Le duel USA-URSS dans l'espace. Guerre des étoiles : l'Europe entre les deux Grands,1987,1958-8992
43,Fuite et nostalgie romantiques de la Grèce,1994,
44,Un prof en fuite. De l'enseignement à la plomberie,1980,2513-6119
45,La fuite du « vrai » dans la cure psychanalytique,1968,2102-5924
46,Nick's Movie : le point de fuite,1994,1705-6500
47,Puškin en exil et ses projets de fuite (1820-1826),1987,2117-718
48,Les langues sont des êtres de fuite,1990,1958-5926
49,Un essai de typologie des nouvelles mobilités,2001,2262-3353
50,"Enfants d'ici, parents d'ailleurs. Histoire et mémoire de l'exode rural et de l'immigration. Carole Saturno Gallimard Jeunesse, livre pour enfants (à partir de 9 ans), 2005",2006,2262-3353
51,La guerre et les réfugiés dans l'ex-Yougoslavie,1992,1777-5418
52,"Laafi, tout va bien. Film burkinabé de S. Pierre Yaméogo",1991,2262-3353
53,"Abdoulaye Gueye, Les intellectuels africains en France. Préface de Babacar Sall. Paris, L’Harmattan. Collection « Sociétés africaines et diaspora », 2001, xvi + 272 p., bibliogr., index.",2002,1703-7921
54,Table générale de 1999,1999,1950-6694
55,Existe-t-il un exode des compétences françaises vers l'étranger ? L'exemple des migrations vers New York (Is there an exodus of the highly skilled french people to foreign countries ? The example of the flows to New York),2004,2275-5195
56,Paul Bairoch.- Le Tiers-Monde dans l'impasse (3e édition),1993,2105-2581
57,"Le XIIe Congrès de l'I.D.E.F. (Dakar, 24-29 septembre 1979)",1979,1953-8111
58,Migrations de l'Est : où en est-on trois ans après la chute du mur de Berlin ?,1993,1703-7891
59,Faire du dessin d'art grâce au cerveau droit,1988,1778-7459
60,"L'imitation, système d'appariement des motifs entre deux cerveaux",1996,1969-6981
61,Marie-Joseph Chalvin Ces cerveaux qui nous gouvernent,1991,1778-7459
62,Relations internationales,1994,1958-8992
63,Échecs et illusions des politiques d'aide au retour,2000,2262-3353
64,"Mihaela Nedelcu (Dir).), La mobilité internationale des compétences : situations récentes, approches nouvelles. Actes du Colloque « La mobilité internationale des compétences : fuite ou circulation ?, Neuchâtel, », Paris, L'Harmattan, ( Questions sociologiques), 2004",2004,2107-0946
65,Sur la fuite et le retour de l'archevêque Eustathe de Thessalonique,1962,2261-060
66,Serisier collectionneur et la «Fuite en Egypte» de Poussin,1994,1953-812
67,Une accélération de la fuite des capitaux hors de Chine,1999,1996-4609
68,La place de l’éviction et de la fuite dans le perfectionnement éthique,2002,1492-1391
69,Adhésion turque : la fuite en avant continue,2005,1958-8992
70,Une réévaluation des interprétations de la fuite simulée d'Hastings,1995,2261-4427
71,La Révolution française et l'Événement : la fuite du roi,1992,
72,"La Russie, entre peurs et défis, de Jean Radvanyi et Marlène Laruelle, Paris, Armand Colin, 2016, 240 p.",2018,1703-8480
73,"Les ""nouveaux migrants"" algériens des années quatre-vingt-dix",2003,2262-3353
74,Le choix culturel des Arabes,1971,1958-8992
75,L'émigration de l'ex-Union soviétique : prémices et inconnues,1992,1777-5418
76,"Congrès international des Africanistes, « Développement en général » (9 au 19 décembre 1973, Addis-Abeba)",1974,2101-0226
77,"Repenser l’Atlantique. Commerce, immigration, sécurité, Dorval Brunelle (dir.), 2012, Bruxelles, Bruylant, 441 p.",2014,1703-7891
78,La mémorisation des flashes télévisés,1980,1778-7459
79,Présentation du numéro,2013,1705-1495
80,Economie politique de la croissance,1999,1950-6694
81,"Bernard Chavance (sous la dir.), Les incertitudes du grand élargissement. L'Europe centrale et balte dans l'intégration européenne",2004,2259-6100
82,Mobilité internationale étudiante et insertion professionnelle : parcours différenciés de migrants congolais en Belgique,2013,1705-1495
83,"Abusharaf R. M., 1997 -Sudanese migration to the New World. International migration, pp. 513-536",1999,1961-8603
84,La migration arménienne vers Paris et sa région dans la période 1988-2004,2007,2262-3353
85,L’affaire du cerveau. Quelques remarques sur le rôle de l’encéphale dans la médecine chinoise,2006,
86,"L'enseignement supérieur en Chine [Higher Education in Post-Mao China, sous la direction de Michael Agelasto and Bob Adamson]",1998,1996-4609
87,"Cohen, Robert B., et al, (eds.) «The Multinational Corporation : A Radical Approach », Papers by Stephen Herbert Hymer, 1979, Cambridge University Press, 323 p.",1980,1703-7891
88,Conditions économiques et émigration des élites intellectuelles en Albanie,1997,1777-5396
89,"Jean Domingo, Gérard Dorel, André Gauthier et, en conclusion, une interview de Bernard Stasi, Champagne-Ardenne : une région à la recherche de son identité, 1987",1990,2613-2737
90,"Trois notes sur les fondements du complexe de Primarette. Loups-garous cauchemars, prédations et graisses",2002,2419-8676
91,"Hommes et Migrations, n°1155, juin 1992. Migrations Est-Ouest.",1992,2262-3353
92,Corpus issus du Web : constitution et analyse informationnelle,2003,1705-4591
93,"La fuite de l'escudero (Lazarillo de Tormes, Tratado III)",1975,1775-3821
94,Lignes de fuite. La Bête humaine évadée du naturalisme,2004,1957-7958
95,Entre fuite et combat. Parcours en littérature de jeunesse,1993,2118-724
96,"Carmen Castillo, Ligne de fuite",1988,2262-3353
97,Lecture de plusieurs lettres et adresses sur la fuite du roi,1887,
98,Géographie de la population : parcours d’une branche de la géographie,2010,1708-8968
99,L'émigration de l'ex-Union soviétique : prémices et inconnues,1991,1777-5418
100,Quelques aspects du vieillissement du noyau cellulaire,1976,1777-5469
101,L'élite scientifique arabe en France : le cas de la ville de Toulouse,1993,2613-2702
102,Atelier 5,1979,2101-0382
103,L'émigration et l'Occitanie,1979,2101-0382
104,Revenir et repartir ! Trajectoires de mobilités étudiantes et diplômées du sud et du nord de l’Europe,2013,1705-1495
105,Les troubles du développement viennent-ils confirmer les arguments de la psychologie évolutionniste ? Une approche neuro-constructiviste,2005,2105-2913
106,"Cahiers internationaux de sociologie. - vol. I, janvier-juin 1971",1971,2101-0226
107,S. Didou-Aupetit – L’internationalisation des universités au Mexique,2004,2105-2913
108,Le cerveau suivant les races,1935,1777-5469
109,Vers quel désordre mondial ?,1992,2101-0226
110,Introduction,2016,1953-8111
111,"P.Cossa, La cybernétique, ""Du cerveau humain aux cerveaux artificiels""",1955,1969-6582
112,Identités psychophysiques et inférence à la meilleure explication,2013,1492-1391
113,Revue d'anthropologie,1904,1955-2580
114,Une identité double de moins en moins problématique,2003,2262-3353
115,Le genre à l’épreuve des neurosciences,2013,1705-9240
116,"Francis Deron. Cinquante jours à Pékin : chronique d'une révolution assassinée. 15 avril-3 juin 1989
Agnès Gaudu. Chine : l'empire déchiré",1990,1958-8992
117,Comptes-rendus d'articles,1993,2104-3752
118,Droits de l'Homme et libertés politiques dans l'aire arabo-musulmane,1987,2101-0226
119,II - Anthropologie,1902,1955-2580
120,La fuite en avant dans l'enseignement supérieur. Les boursiers congolais,1974,1963-1359
121,Les jeunes et le travail : remise en question ou fuite en avant ?,1982,1703-9665
122,Délibération du directoire du district de Clermont au sujet de la fuite du roi,1887,
123,Au-delà de la fuite : l’afroféminisme face à la violence raciale et sexuelle,2019,1710-0305
124,La théorie du commerce international,1969,1710-3991
125,Machlup (Fritz). — Education and economic growth (Education et développement économique),1972,2105-2913
126,Un siècle d'immigration arabe aux États-Unis,1991,2262-3353
127,Les problèmes du statut doublement minoritaire : le cas des Antillais anglophones de Montréal,1984,1703-7921
128,Le coût de la nouvelle frontière Schengen pour la Russie et l'Ukraine,2001,2262-3353
129,L. Marmora — Les politiques de migrations internationales,2004,1957-7966
130,Le roman indien moderne et les nouvelles « diasporas»,1997,1777-5418
131,Architecture et mégastructures,1985,2102-5924
132,"2.3. Postures et chimères, ou la philosophie dans la salle de bain",2003,
133,"Mei Zhang, China's poor regions : Rural-urban migration, poverty, economic reform and urbanization",2006,1996-4609
134,L'avenir des écoles primaires dans les Alpes,2005,1760-7426
135,"Histoire des sciences au Québec, de la Nouvelle-France à nos jours. Par Luc Chartrand, Raymond Duchesne et Yves Gingras. (Montréal : Boréal, nouvelle édition, 2008. 535 p., ill., bibl., index. ISBN 978-2-7646-0623-0 32,95 $)",2011,1918-7750
136,"Nouveaux défis du religieux en Europe. Religion, éthique et société",1993,2261-1010
137,Balkans : les exclus de l'élargissement,2001,2262-3353
138,De James Williams à James Williams — ou du héros à l’anti-héros : la figure de l’esclave en fuite dans la littérature abolitionniste britannique des années 1820 et 1830,2009,
139,Flux migratoires et politiques d'immigration européennes,1992,2262-3353
140,"Jean-Marie Cardebat, La mondialisation et l'emploi",2002,1963-1359
141,À propos de l'«humiliation». Un entretien avec Maxime Rodinson,1991,2262-3353
142,Vigilance: Embodied Nowness? On the Relation of Mental Presence to Time and Energy,2016,
143,Le développement de la tromperie tactique chez le jeune enfant,1990,1969-6981
144,"Les caractères distinctifs du cerveau de l'homme au point de vue morphologique (3e conférence Broca, 1885)",1887,1777-5469
145,"Origines et devenir de la notion d""'exception cubaine"" dans la politique migratoire américaine",2002,2262-3353
146,"Bulletin de l'Association de géographes français, 81e année, 2004-2 ( juin). Formation, emploi, territoires / Quelle géographie sociale?",2004,2275-5195
147,"Hillman, Richard S. et Thomas J. D'Agostino (dir.). Understanding the Contemporary Caribbean, Boulder, co, Lynne Rienner Publishers, 2003, 393 p.",2005,1703-7891
148,Pour un arbitrage de l'Etat,2010,
149,Risques urbains et pratiques argumentatives : Une fuite d'huile à Rio de Janeiro,2004,2497-7098
150,"Une lettre inédite de Monge sur la situation en France, en 1791, après la fuite du Roi",1948,1969-6582
151,Rome devant la prétendue fuite de l'or : mercantilisme ou politique disciplinaire ?,1979,1953-8146
152,"L'économie continentale entre dans ""le rouge"" [La fuite en avant de l'économie chinoise]",1993,1996-4609
153,Un épisode international à la veille des guerres de religion : la fuite du comte d'Arran,1961,1776-3045
154,"Lettre de la municipalité de Sézanne sur la fuite du roi, lors de la séance du 23 juin 1791",1791,
155,Répliques à André Lux,1992,1492-1375
156,Mots-clefs,2001,2262-3353
157,"Centre de Recherches Afro-Asiatiques de l'Académie des Sciences de Hongrie. Éducation, adaptation et efficacité de l'assistance technique",1973,
158,368e séance. — 18 avril 1878.,1878,1777-5469
159,"Walden Bello and Stephanie Rosenfed, Dragons in distress, Asia's miracle economies in crisis",1993,1963-1359
160,Le Centre international de Physique théorique de Trieste-Miramare,1979,1963-1359
161,"Marthoz, Jean-Paul (dir.), Où va l’Amérique latine ? Tour d’horizon d’un continent en pleine mutation, Bruxelles, grp/Éditions Complexe, 2007, 135 p.",2008,1703-7891
162,"Hommes et Migrations, n°1272, Mars-avril 2008. Mondialisation et migrations internationales.",2008,2262-3353
163,Les étudiants d'Afrique noire dans les pays de la Communauté,1987,2262-3353
164,"Le Kremlin, roman inédit de Vsevolod Ivanov",1979,2117-718
165,Les conséquences sociales de l'émigration au Liban,1992,1773-0201
166,II. Neurophysiologie et Psychophysiologie,1962,1955-2580
167,Les fondements de la politique étrangère d'Israël,1957,1958-8992
168,D'un espace public à un autre. De la censure à l'émergence des lois du marché dans les médias des pays de l'Est,1993,1777-5809
169,"Travaux de la Conférence de Lausanne, réunis par Adams (W.) et Rieben (H.) - L'Exode des cerveaux.",1969,1950-6694
170,Les originaires d'Afrique subsaharienne aux Antilles françaises. Entre migration familiale et exode des cerveaux ?,2008,2262-3353
171,Le cerveau d'un Fuégien,1894,1777-5469
172,Laboratoire d'Anthropologie,1873,
173,"Émigration africaine en Amérique du Nord : l'exemple canadien, un cas à part",2008,2262-3353
174,"Nguyen, Tri Q. Third-World Development : Aspects of Political Legitimacy and Viability. Cranbury (N.J.), Fairleign Dickinson University Press, 1989, 221 p.",1990,1703-7891
175,Le Portugal : de l’émigration à l’immigration,2005,1775-3945
176,Les élites d'origine maghrébine : l'arlésienne ?,1993,2613-2702
177,"Population, migrations et développement",1994,1777-5418
178,Réduire au-delà de 20 % les émissions de gaz à effet de serre dans l’Union européenne : quelles conséquences sur les secteurs intensifs en énergie européens ?,2016,1777-5795
179,Revue d'anthropologie,1903,1955-2580
180,Maroc,2017,2647-8145
181,"Multinationales de l'expertise et ""dépérissement de l'État""",1993,1955-2564
182,Présentation d'un cerveau de gorille mâle et adulte,1876,1777-5469
183,"Williams (Christopher), Chuprov (Vladimir), Staroverov (Vladimir) — Russian society in transition",1997,1957-7966
184,"Carmen Castañeda, La educación en Guadalajara durante la Colonia (1552- 1821)",1988,1953-8146
185,"Anne-Marie Gaillard et Jacques Gaillard, Les enjeux des migrations scientifiques internationales. De la quête du savoir à la circulation des compétences",2001,1963-1359
186,La perversion du vide,2009,2551-3761
187,Livres reçus,1970,1953-8146
188,"Espaces et pouvoirs : Provence 1900, Provence 1989",1991,1773-0201
189,"Leclercq (Dom II), La fuite du roi, (avril-juillet 1791), 1936",1938,1776-3045
190,Efficacité thérapeutique comme ligne de fuite : Le cas du jamu sur l’île de Java,2016,1703-7921
191,Le téléphone d'Alexandre Grine : Fuite et rumeurs dans la Russie révolutionnaire des années vingt,1997,1710-0305
192,"Chimères. Revue des schizoanalyses, N°58-59, Hiver 2005 printemps 2006 2005. Lignes de fuite, lignes de résistance.",2005,2111-4412
193,"“Writing” the Runaways : Descriptions, Inscriptions and Narrations in the Runaway Slave “Advertisements” of Le Moniteur de la Louisiane, 1802-1814",2005,
194,Manifestations à venir,1977,1957-7850
195,"Fredrik Barth, Andre Gingrich, Robert Parkin et Sydel Silverman, 2005, One Discipline, Four Ways : British, German, French, and American Anthropology. Chicago et Londres, University of Chicago Press, 2005, 405 p., bibliogr., index.",2006,1703-7921
196,"Laszlo, E.; Baker, R. Jr.; Eisenberg, E.; Raman, V., The Objectives of the New International Economic Order, Pergamon Press, New York, 1978, xxx + 257 p.",1980,1703-7891
197,L'autre Poirier,1981,1776-2936
198,La migration internationale en Bulgarie,1994,1777-5418
199,396e Séance.— 23 octobre 1879.,1879,1777-5469
200,La détention de monnaie dans la théorie du cycle de vie,1992,1950-6694
201,Le Laboratoire Broca,1940,1777-5469
202,II. — Notes,1969,1957-7966
203,"Jean Touscoz, La coopération scientifique internationale",1974,1963-1359
204,Revue d'anthropologie,1905,1955-2580
205,Les émigrations afghanes et les enjeux du retour,2005,2262-3353
206,"Interview de Jean LE GARREC, Secrétaire d'Etat auprès du Premier Ministre, chargé de l'extention du secteur public",1981,1773-0198
207,Une vision nouvelle de l'Afrique aujourd'hui?,2004,1963-1359
208,Pékin - Paris : l'étudiant chinois est-il une marchandise ?,2005,2262-3353
209,"Des ""grands prêtres"" du droit au marché de l'expertise juridique : transformations morphologiques et recomposition du champ des producteurs de doctrine en droit des affaires",1994,2119-4831
210,Livres reçus,1999,1777-5418
211,"L. Van Bogaert et J. Théodoridès, Constantin von Economo, the Man and the Scientist",1981,1969-6582
212,Un état des lieux,1992,2262-3353
213,Résumés des articles,1994,2259-6100
214,Le langage de la délinquance,1984,1778-7459
215,Passages de vie... passages de cerveau,2010,
216,Du bon usage de l'informatique,1987,1952-4226
217,Penser l'outil,1987,1952-4226
218,"Hommes et Migrations, n°1221, Septembre-octobre 1999. Immigration, la dette à l'envers.",1999,2262-3353
219,La diaspora libanaise : une organisation communautaire,1994,1776-2936
220,"La recherche contre le Tiers Monde, Mohamed Larbi Bouguerra",1994,2613-2702
221,"Catherine Wihtol de Wenden et Anne de Tinguy (dir.) : L'Europe et toutes ses migrations, 1995",1996,2262-3353
222,Georges Frélastre. De Berlin à Moscou. Le socialisme au quotidien avant le dégel,1990,1958-8992
223,Claude Liauzu. L'Europe et l'Afrique méditerranéenne,1994,1958-8992
224,Christopher Layton. 14 points pour faire l'Europe,1969,1958-8992
225,Le Nord qui est nature qui est féminitude (Images d’Yves Tessier),1982,1708-8968
226,"Osgood, Robert E. The Nuclear Dilemma in American Strategic Thought. Boulder Col., Westview Press, 1988, 162 p.",1990,1703-7891
227,La communication est-elle une vache sacrée?,1970,1778-7459
228,Individualisation du temps de travail et espaces publics : Intensités et lignes de fuite dans la grande ville,1997,2497-7098
229,J.-M. Szymusiak. Athanase d'Alexandrie. Apologie à l'empereur Constance. Apologie pour sa fuite,1960,2105-2573
230,"""Why do they run away?"" : Le Songe ou l'art de la fuite",2003,2117-590
231,Kenneth R. Timmerman. La grande fauche. La fuite des technologies vers l'Est,1990,1958-8992
232,"Arrêté du directoire du département du Nord suite à la fuite du roi, lors de la séance du 25 juin 1791",1791,
233,"Délibération du directoire du district de Clermont au sujet de la fuite du roi, lors de la séance du 24 juin 1791",1791,
234,Décret maintenant en état d’arrestation les personnes compromises lors de la fuite du roi,1887,
235,"Le déracinement du vrai et la « fuite des dieux », d'après les « Questions fondamentales de philosophie » de Heidegger",1994,
236,Aperçu sur les problèmes actuels de migrations,1959,2105-2948
237,Chroniques et bibliographies diverses,1906,1777-5329
238,L'attraction exercée par les Etats-Unis sur les élites de l'ex-URSS et de la Chine,1992,2262-3353
239,392e Séance.— 20 juin 1879.,1879,1777-5469
240,Des diasporas africaines en construction : le cas du Nigeria,2006,1703-7921
241,Les nouveaux flux migratoires en Ukraine,1997,2262-3353
242,Neuroéconomie et sciences économiques,2009,1760-7388
243,Un document sur l'émigration philippine,1977,1963-1359
244,L'idée de progrès à la fin du XVIIe siècle. Temps et espace dans l'histoire philosophique,2001,2419-8676
245,L'U.R.S.S. entre l'athéisme rationaliste et l'athéisme émotionnel,1965,2259-0285
246,Le rituel de Pessah,1996,2262-3353
247,"Partir ou rester ? Emigration from Hong Kong, Tendencies and Impact, de Ronald Skeldon",1996,1996-4609
248,Table du tome 106,2008,1783-1768
249,Les diasporas africaines et la mondialisation,2005,2613-2702
250,Tendances de la politique étrangère soviétique,1949,1958-8992
251,Deux Universités : Strasbourg et Nancy,1896,
252,"La véritable dyslexie, un problème neurologique",1986,1778-7459
253,Cameron Rondo — La France et le développement économique de l'Europe (1800-1914),1971,1957-7966
254,"Le cyberespace, figure de l’utopie technologique réticulaire",2000,1492-1375
255,Les migrations de spécialistes hautement qualifiés entre l'Europe centrale et l'Union Européenne : analyse et perspectives,1994,2259-6100
256,Pulsions et impulsions : l'euro-méditerranée comme enjeu de société,1998,1958-8992
257,Les transferts intergénérationnels des migrants âgés,2005,1777-5574
258,Table des Auteurs. — Bulletins,1900,1777-5469
259,Les transferts des techniques,1979,1963-1359
260,Quelle stratégie économique à moyen terme ?,2007,1777-5744
261,La Russie entre elle-même et l'Europe,1997,1958-8992
262,L'activité du Centre,1966,1958-8992
263,"La préservation identitaire dans les communautés immigrées, révélateur de diasporas en gestation ou passage transitoire ?",2001,1777-5396
264,L'arène médiatique : le Président face aux jeunes,2006,1778-7459
265,Une tablette de l'Ile de Pâques,1911,1777-5469
266,Quelques réflexions sur les modèles du cerveau,1987,2105-2956
267,Weltmächte am Pazifik. Les puissances autour du Pacifique (traduit de l'allemand par Marie-Thérèse Blanchong ),1945,1760-7256
268,De l'influence du travail cérébral sur le volume et la forme du crâne,1884,2613-2958
269,Résumés des articles,1996,2259-6100
270,L'Europe : quelle Europe ?,1994,2262-0753
271,L'Europe de l'Est entre l'Est et l'Europe,1969,1950-6686
272,Le Laboratoire d'Anthropologie de l'Ecole pratique des hautes études,1980,1777-5469
273,Commémoration d’un jeune poète : Charles Argentin,1968,
274,Les étudiants Afrique-Caraïbes-Pacifique parmi nous,1990,2261-1010
275,L'intégration socio-économique des Hispano-Américains,1993,2262-3353
276,"Rapport sur un Mémoire de M. H. Wagner, intitulé : Mensuration de la surface du cerveau,",1865,1777-5469
277,"Serbie-Monténégro : terre de refuge, terre de départ",2004,2259-6100
278,"La fuite et les aventures de Pierre de Craon en Espagne, d'après des documents inédits des archives d'Aragon.",1891,1953-8138
279,La fuite comme acte éthique : le discours générationnel chez Hélène Lenoir et Suzanne Jacob,2010,1492-1405
280,Fuite et séjour d'Henri Estienne en Italie d'après une lettre d'Odet de Selve (XVIe siècle),1910,1969-6663
281,"Adresses du directoire du département de la Loire-Inférieure à propos de la fuite du roi, lors de la séance du 27 juin 1791",1791,
282,"Discussion sur la délibération du directoire du district de Clermont au sujet de la fuite du roi, lors de la séance du 24 juin 1791",1791,
283,Sur les anomalies de fuite en prospection géochimique stratégique. Un exemple pris dans la bordure sédimentaire du Vivarais,1964,2419-686
284,Tiers Monde et développement,1986,1958-8992
285,III. — Ouvrages reçus,1970,1957-7966
286,Recherches sur les migrations internationales et les minorités ethniques au Royaume-Uni,1989,1777-5418
287,"Samman M.L. — La population de la Syrie, étude géodémographique",1977,1957-7966
288,Catherine Wihtol de Wenden. L'immigration en Europe,1999,1777-5418
289,"Le développement de la connaissance des visages : modularité, apprentissage et pré-organisation",2002,
290,Les migrations en revue,1993,2262-3353
291,L'emprise de l'idéal monastique sur la spiritualité des laïcs au XVIIe siècle d'après le P. Philippe d'Angoumois (1638),1966,2259-0285
292,Enjeux,2001,1950-6678
293,L'Afrique et la modernité des sciences sociales,2001,1950-6678
294,Sur la conservation des pièces anatomiques par la paraffine,1879,1777-5469
295,Moussa (Pierre) — Caliban naufragé. Les relations Nord-Sud à la fin du XXe siècle,1995,1957-7966
296,116e séance. 19 Janvier 1865,1865,1777-5469
297,Coupes de circonvolutions cérébrales,1887,1777-5469
298,Singularité des vagues migratoires en France,2005,1775-3945
299,"Jean-René Treanton, «Fermeture régionale et différenciation culturelle», Revue française de Sociologie, VII, 1966, pp. 348-360",1968,2271-7005
300,305e séance.- 4 mars 1875.,1875,1777-5469
301,"De la musique de geste à la musique du son, de SuperMémé à I8U",2009,1488-9692
302,La cause du peuple,1998,1950-6678
303,Nouvelle contribution à l'anatomie comparée du cerveau,1896,1777-5469
304,Le cerveau de l'assassin Prévost.,1880,1777-5469
305,Apprivoiser la distance et supprimer l'absence ? ou les défis de la formation à distance,1993,2105-2913
306,Anatomie comparée du lobe occipital,1916,1777-5469
307,Manouvrier Considérations sur l'hypermégalie cérébrale,1902,1955-2580
308,L’option Europe : une vue du long terme,1976,1710-3991
309,Les premières gazettes et la satire : de la légitimation de l’actualité à sa dénonciation,2017,2417-6516
310,De la valeur réelle de la forme spéciale d'un fragment de crâne trouvé dans la caverne de Néanderthal,1864,1777-5469
311,Moctezuma II. Crónica de una muerte anunciada,1998,2272-9828
312,Les universités mexicaines en mutation. Restructuration et internationalisation,1994,2497-7098
313,E-stratégies migratoires et communautaires : le cas des Roumains à Toronto,2002,2262-3353
314,Nouvelle étude sur le sillon sous-frontal intra-limbique et sur la fudion du lobe du corps calleux avec les lobes adjacents.,1892,1777-5469
315,Les migrations dans la Russie post­soviétique : reflet du passé et miroir des changements en cours ...,1995,2259-6100
316,Le cerveau d'un Tasmanien,1911,1777-5469
317,"L'Europe centrale, centre de l'Europe?",2000,2105-2581
318,Europe des Etats - Europe fédérale,2002,1958-8992
319,Un Centre d'histoire de l'immigration. Pourquoi et comment ?,2004,2262-3353
320,Un Centre d'histoire de l'immigration. Pourquoi et comment ?,2005,2262-3353
321,L'immigration en Bulgarie : esprit d'entreprise et questions d'intégration,2008,2262-3353
322,Coopération scientifique et technique et néocolonialisme,1984,1963-1359
323,Présentation,2006,1492-1405
324,La population de l'Irlande,1980,1760-8546
325,Suite de la séance du 4 février 1886,1886,1777-5469
326,La longue marche de la colonne Prestes ou l'épopée d'un échec (octobre 1924 février 1927),1986,2272-9828
327,La formation en anthropologie à l'hôpital,2000,2262-3353
328,Nicod ou Thevet ?,1962,1775-3864
329,Basil Davidson. Germany what now ? Potsdam to Partition,1950,1958-8992
330,"Gérard Mendel, de la psychanalyse à la sociopsychanalyse",1993,
331,L'écriture hébraïque médiévale et les méthodes optiques,1971,2507-0185
332,Proposition d’un traitement émotionnel pour un STI « conscient »,2007,1764-7223
333,Sur le Cerveau du gorille.,1877,1777-5469
334,Une nouvelle pensée territoriale,2001,2105-2581
335,Héritage et renaissance civilisationnelle dans le monde arabe,1992,2613-2702
336,"Le renforcement de la haute fonction publique, une réponse au défi de la transformation des administrations d'Europe centrale et orientale?",1996,2119-4831
337,Les facteurs économiques de la politique étrangère du Canada,1973,1958-8992
338,Rodolphe Reuss. La grande fuite de décembre 1793 et la situation politique et religieuse du Βas-Rhin de 1794 à 1799.,1924,2295-9068
339,"Lecture d'une adresse du conseil général du département du Nord concernant la fuite du roi, lors de la séance du 28 juin 1791",1791,
340,"Adresse des citoyens de la ville de Rugles à propos de la fuite du roi et de la famille royale, lors de la séance du 27 juin 1791",1791,
341,"La fuite des Juifs à travers les Pyrénées pendant la Seconde Guerre mondiale, une géographie de la peur et de la survie",2014,2496-7068
342,1021e séance. — 16 Juin 1910.,1910,1777-5469
343,Cerveau de M. Laborde,1903,1777-5469
344,La crise financière russe. Un révélateur de la fragilité des marchés globaux de capitaux,2000,1950-6694
